,alcaldia,longitud,latitud,alcaldia_id,año
102,Azcapotzalco,-99.176498,19.492278,002,2020
103,Azcapotzalco,-99.178169,19.492355,002,2020
104,Azcapotzalco,-99.177992,19.492394,002,2020
105,Azcapotzalco,-99.193044,19.49715,002,2020
106,Azcapotzalco,-99.178642,19.491575,002,2020
107,Azcapotzalco,-99.186779,19.491239,002,2020
108,Azcapotzalco,-99.185308,19.493501,002,2020
109,Azcapotzalco,-99.206498,19.505815,002,2020
110,Azcapotzalco,-99.206349,19.505741,002,2020
111,Azcapotzalco,-99.181642,19.497368,002,2020
112,Azcapotzalco,-99.189175,19.494001,002,2020
113,Azcapotzalco,-99.179306,19.492453,002,2020
114,Azcapotzalco,-99.178699,19.491666,002,2020
115,Azcapotzalco,-99.207817,19.472547,002,2020
116,Azcapotzalco,-99.216245,19.483379,002,2020
117,Azcapotzalco,-99.193959,19.497429,002,2020
118,Azcapotzalco,-99.184682,19.491187,002,2020
119,Azcapotzalco,-99.181854,19.492637,002,2020
120,Azcapotzalco,-99.184541,19.491539,002,2020
121,Azcapotzalco,-99.179254,19.491333,002,2020
122,Azcapotzalco,-99.180153,19.494022,002,2020
123,Azcapotzalco,-99.185619,19.492608,002,2020
124,Azcapotzalco,-99.20305,19.488855,002,2020
125,Azcapotzalco,-99.18302,19.49215,002,2020
126,Azcapotzalco,-99.178333,19.49639,002,2020
127,Azcapotzalco,-99.184006,19.494043,002,2020
128,Azcapotzalco,-99.188217,19.487638,002,2020
129,Azcapotzalco,-99.188217,19.487638,002,2020
130,Azcapotzalco,-99.188217,19.487638,002,2020
131,Azcapotzalco,-99.209,19.475495,002,2020
132,Azcapotzalco,-99.180117,19.495729,002,2020
133,Azcapotzalco,-99.207505,19.473267,002,2020
134,Azcapotzalco,-99.182642,19.493488,002,2020
135,Azcapotzalco,-99.187231,19.490063,002,2020
136,Azcapotzalco,-99.183486,19.492098,002,2020
137,Azcapotzalco,-99.186317,19.494137,002,2020
138,Azcapotzalco,-99.180066,19.490633,002,2020
139,Azcapotzalco,-99.20329,19.507354,002,2020
140,Azcapotzalco,-99.18185,19.497755,002,2020
141,Azcapotzalco,-99.180708,19.496276,002,2020
142,Azcapotzalco,-99.18668,19.49145,002,2020
143,Azcapotzalco,-99.210218,19.474026,002,2020
144,Azcapotzalco,-99.173257,19.481664,002,2020
145,Azcapotzalco,-99.18327,19.498029,002,2020
146,Azcapotzalco,-99.18668,19.490197,002,2020
147,Azcapotzalco,-99.189085,19.486833,002,2020
148,Azcapotzalco,-99.187982,19.488696,002,2020
149,Azcapotzalco,-99.188008,19.488632,002,2020
150,Azcapotzalco,-99.187815,19.489123,002,2020
151,Azcapotzalco,-99.187457,19.489258,002,2020
152,Azcapotzalco,-99.188002,19.488058,002,2020
153,Azcapotzalco,-99.188297,19.487333,002,2020
154,Azcapotzalco,-99.188301,19.488174,002,2020
155,Azcapotzalco,-99.188411,19.488412,002,2020
156,Azcapotzalco,-99.194351,19.497579,002,2020
157,Azcapotzalco,-99.202634,19.476683,002,2020
158,Azcapotzalco,-99.178703,19.496912,002,2020
159,Azcapotzalco,-99.183193,19.489991,002,2020
160,Azcapotzalco,-99.186444,19.488805,002,2020
161,Azcapotzalco,-99.180263,19.496233,002,2020
162,Azcapotzalco,-99.202157,19.476818,002,2020
163,Azcapotzalco,-99.183793,19.48825,002,2020
164,Azcapotzalco,-99.184808,19.490308,002,2020
165,Azcapotzalco,-99.183425,19.487593,002,2020
166,Azcapotzalco,-99.183793,19.48825,002,2020
167,Azcapotzalco,-99.184004,19.489035,002,2020
168,Azcapotzalco,-99.217491,19.476506,002,2020
169,Azcapotzalco,-99.219642,19.476515,002,2020
170,Azcapotzalco,-99.209521,19.472218,002,2020
171,Azcapotzalco,-99.186077,19.487803,002,2020
172,Azcapotzalco,-99.186077,19.487803,002,2020
173,Azcapotzalco,-99.18657,19.488537,002,2020
174,Azcapotzalco,-99.184808,19.490308,002,2020
175,Azcapotzalco,-99.184694,19.48834,002,2020
176,Azcapotzalco,-99.20435,19.478046,002,2020
177,Azcapotzalco,-99.187111,19.488616,002,2020
178,Azcapotzalco,-99.185186,19.487405,002,2020
179,Azcapotzalco,-99.184772,19.488684,002,2020
180,Azcapotzalco,-99.184578,19.488518,002,2020
181,Azcapotzalco,-99.185871,19.487761,002,2020
182,Azcapotzalco,-99.197195,19.48927,002,2020
183,Azcapotzalco,-99.185659,19.487691,002,2020
184,Azcapotzalco,-99.18653,19.488357,002,2020
185,Azcapotzalco,-99.18653,19.488357,002,2020
186,Azcapotzalco,-99.184557,19.488547,002,2020
187,Azcapotzalco,-99.186552,19.488457,002,2020
188,Azcapotzalco,-99.186639,19.488787,002,2020
189,Azcapotzalco,-99.209042,19.475607,002,2020
190,Azcapotzalco,-99.175692,19.480326,002,2020
191,Azcapotzalco,-99.188798,19.488251,002,2020
192,Azcapotzalco,-99.175706,19.480269,002,2020
193,Azcapotzalco,-99.175921,19.479462,002,2020
194,Azcapotzalco,-99.176331,19.479127,002,2020
195,Azcapotzalco,-99.189438,19.48834,002,2020
196,Azcapotzalco,-99.176715,19.480041,002,2020
197,Azcapotzalco,-99.175639,19.479931,002,2020
198,Azcapotzalco,-99.175739,19.480139,002,2020
199,Azcapotzalco,-99.205897,19.506025,002,2020
200,Azcapotzalco,-99.196721,19.500574,002,2020
201,Azcapotzalco,-99.183549,19.492606,002,2020
202,Azcapotzalco,-99.175588,19.480969,002,2020
203,Azcapotzalco,-99.175778,19.479982,002,2020
204,Azcapotzalco,-99.173097,19.481809,002,2020
205,Azcapotzalco,-99.204649,19.47705,002,2020
206,Azcapotzalco,-99.179743,19.493954,002,2020
207,Azcapotzalco,-99.187508,19.489164,002,2020
208,Azcapotzalco,-99.188364,19.488367,002,2020
209,Azcapotzalco,-99.178275,19.480713,002,2020
210,Azcapotzalco,-99.179187,19.491752,002,2020
211,Azcapotzalco,-99.188355,19.492615,002,2020
212,Azcapotzalco,-99.188448,19.489629,002,2020
213,Azcapotzalco,-99.178498,19.492251,002,2020
214,Azcapotzalco,-99.178386,19.480086,002,2020
215,Azcapotzalco,-99.173827,19.491323,002,2020
216,Azcapotzalco,-99.204248,19.487849,002,2020
217,Azcapotzalco,-99.184817,19.494771,002,2020
218,Azcapotzalco,-99.178642,19.481598,002,2020
219,Azcapotzalco,-99.178642,19.481598,002,2020
220,Azcapotzalco,-99.177025,19.480017,002,2020
221,Azcapotzalco,-99.178188,19.480697,002,2020
222,Azcapotzalco,-99.175545,19.48108,002,2020
223,Azcapotzalco,-99.212837,19.476245,002,2020
224,Azcapotzalco,-99.176834,19.480329,002,2020
225,Azcapotzalco,-99.194004,19.474776,002,2020
226,Azcapotzalco,-99.173207,19.482354,002,2020
227,Azcapotzalco,-99.178705,19.481099,002,2020
228,Azcapotzalco,-99.173115,19.482342,002,2020
229,Azcapotzalco,-99.173039,19.482325,002,2020
230,Azcapotzalco,-99.172955,19.482294,002,2020
231,Azcapotzalco,-99.178406,19.485022,002,2020
232,Azcapotzalco,-99.173328,19.481882,002,2020
233,Azcapotzalco,-99.173005,19.482486,002,2020
234,Azcapotzalco,-99.172974,19.483257,002,2020
235,Azcapotzalco,-99.188406,19.486806,002,2020
236,Azcapotzalco,-99.209383,19.484877,002,2020
237,Azcapotzalco,-99.200737,19.500806,002,2020
238,Azcapotzalco,-99.186923,19.489492,002,2020
239,Azcapotzalco,-99.204724,19.488385,002,2020
240,Azcapotzalco,-99.17322,19.483144,002,2020
241,Azcapotzalco,-99.173157,19.483535,002,2020
242,Azcapotzalco,-99.172946,19.483447,002,2020
243,Azcapotzalco,-99.172919,19.482977,002,2020
244,Azcapotzalco,-99.173266,19.482376,002,2020
245,Azcapotzalco,-99.172935,19.482562,002,2020
246,Azcapotzalco,-99.175784,19.481893,002,2020
247,Azcapotzalco,-99.206032,19.494063,002,2020
248,Azcapotzalco,-99.179674,19.492144,002,2020
249,Azcapotzalco,-99.179356,19.491174,002,2020
250,Azcapotzalco,-99.180709,19.489682,002,2020
251,Azcapotzalco,-99.191734,19.493917,002,2020
252,Azcapotzalco,-99.210628,19.491682,002,2020
253,Azcapotzalco,-99.20054,19.510501,002,2020
254,Azcapotzalco,-99.166117,19.489003,002,2020
255,Azcapotzalco,-99.166117,19.489003,002,2020
256,Azcapotzalco,-99.164053,19.487246,002,2020
257,Azcapotzalco,-99.179743,19.493954,002,2020
258,Azcapotzalco,-99.211383,19.477676,002,2020
259,Azcapotzalco,-99.211928,19.47429,002,2020
260,Azcapotzalco,-99.203847,19.475209,002,2020
261,Azcapotzalco,-99.149003,19.466762,002,2020
262,Azcapotzalco,-99.18697,19.498604,002,2020
263,Azcapotzalco,-99.199348,19.492729,002,2020
264,Azcapotzalco,-99.186973,19.490536,002,2020
265,Azcapotzalco,-99.208013,19.473229,002,2020
266,Azcapotzalco,-99.212791,19.47723,002,2020
267,Azcapotzalco,-99.21115,19.483981,002,2020
268,Azcapotzalco,-99.164421,19.487166,002,2020
269,Azcapotzalco,-99.210293,19.49097,002,2020
270,Azcapotzalco,-99.165899,19.489853,002,2020
271,Azcapotzalco,-99.203563,19.477522,002,2020
272,Azcapotzalco,-99.194603,19.474474,002,2020
273,Azcapotzalco,-99.205858,19.494013,002,2020
274,Azcapotzalco,-99.179989,19.493573,002,2020
275,Azcapotzalco,-99.147107,19.468486,002,2020
276,Azcapotzalco,-99.167285,19.489044,002,2020
277,Azcapotzalco,-99.176851,19.480016,002,2020
278,Azcapotzalco,-99.165642,19.48963,002,2020
279,Azcapotzalco,-99.175717,19.506171,002,2020
280,Azcapotzalco,-99.177261,19.480088,002,2020
281,Azcapotzalco,-99.189764,19.493365,002,2020
282,Azcapotzalco,-99.174437,19.504685,002,2020
283,Azcapotzalco,-99.210712,19.478748,002,2020
284,Azcapotzalco,-99.186078,19.498367,002,2020
285,Azcapotzalco,-99.17507,19.504268,002,2020
286,Azcapotzalco,-99.15444,19.481208,002,2020
287,Azcapotzalco,-99.17615,19.505333,002,2020
288,Azcapotzalco,-99.154422,19.481314,002,2020
289,Azcapotzalco,-99.207526,19.492182,002,2020
290,Azcapotzalco,-99.195968,19.47503,002,2020
291,Azcapotzalco,-99.208936,19.474137,002,2020
292,Azcapotzalco,-99.197304,19.486838,002,2020
293,Azcapotzalco,-99.195485,19.475462,002,2020
294,Azcapotzalco,-99.175745,19.490481,002,2020
295,Azcapotzalco,-99.194553,19.474932,002,2020
296,Azcapotzalco,-99.218979,19.478754,002,2020
297,Azcapotzalco,-99.156149,19.480724,002,2020
298,Azcapotzalco,-99.154354,19.480137,002,2020
299,Azcapotzalco,-99.1545,19.481008,002,2020
300,Azcapotzalco,-99.1545,19.481008,002,2020
301,Azcapotzalco,-99.154266,19.482554,002,2020
302,Azcapotzalco,-99.177562,19.492808,002,2020
303,Azcapotzalco,-99.196208,19.488229,002,2020
304,Azcapotzalco,-99.19078,19.498895,002,2020
305,Azcapotzalco,-99.188415,19.496368,002,2020
306,Azcapotzalco,-99.154294,19.481756,002,2020
307,Azcapotzalco,-99.155235,19.480846,002,2020
308,Azcapotzalco,-99.17853,19.480284,002,2020
309,Azcapotzalco,-99.204327,19.478306,002,2020
310,Azcapotzalco,-99.196328,19.488063,002,2020
311,Azcapotzalco,-99.183435,19.489815,002,2020
312,Azcapotzalco,-99.178781,19.47999,002,2020
313,Azcapotzalco,-99.155643,19.486832,002,2020
314,Azcapotzalco,-99.175324,19.505218,002,2020
315,Azcapotzalco,-99.17851,19.483841,002,2020
316,Azcapotzalco,-99.175858,19.506231,002,2020
317,Azcapotzalco,-99.154365,19.481895,002,2020
318,Azcapotzalco,-99.153856,19.481657,002,2020
319,Azcapotzalco,-99.154322,19.481779,002,2020
320,Azcapotzalco,-99.153802,19.481629,002,2020
321,Azcapotzalco,-99.181747,19.497082,002,2020
322,Azcapotzalco,-99.219947,19.477047,002,2020
323,Azcapotzalco,-99.177566,19.480207,002,2020
324,Azcapotzalco,-99.185739,19.490015,002,2020
325,Azcapotzalco,-99.185739,19.490015,002,2020
326,Azcapotzalco,-99.177595,19.485118,002,2020
327,Azcapotzalco,-99.174405,19.50518,002,2020
328,Azcapotzalco,-99.19387,19.474806,002,2020
329,Azcapotzalco,-99.177595,19.485118,002,2020
330,Azcapotzalco,-99.213712,19.494015,002,2020
331,Azcapotzalco,-99.154639,19.481332,002,2020
332,Azcapotzalco,-99.162604,19.471712,002,2020
333,Azcapotzalco,-99.203652,19.491822,002,2020
334,Azcapotzalco,-99.179743,19.493954,002,2020
335,Azcapotzalco,-99.180653,19.488388,002,2020
336,Azcapotzalco,-99.216487,19.482183,002,2020
337,Azcapotzalco,-99.153155,19.480861,002,2020
338,Azcapotzalco,-99.179948,19.483171,002,2020
339,Azcapotzalco,-99.180022,19.491381,002,2020
340,Azcapotzalco,-99.205695,19.483303,002,2020
341,Azcapotzalco,-99.176398,19.492595,002,2020
342,Azcapotzalco,-99.180345,19.488408,002,2020
343,Azcapotzalco,-99.204613,19.493029,002,2020
344,Azcapotzalco,-99.178896,19.48446,002,2020
345,Azcapotzalco,-99.177676,19.484774,002,2020
346,Azcapotzalco,-99.184783,19.490191,002,2020
347,Azcapotzalco,-99.207979,19.474408,002,2020
348,Azcapotzalco,-99.211688,19.47593,002,2020
349,Azcapotzalco,-99.177876,19.484963,002,2020
350,Azcapotzalco,-99.162379,19.472146,002,2020
351,Azcapotzalco,-99.156675,19.471169,002,2020
352,Azcapotzalco,-99.204213,19.478026,002,2020
353,Azcapotzalco,-99.204213,19.478026,002,2020
354,Azcapotzalco,-99.15531,19.471048,002,2020
355,Azcapotzalco,-99.149981,19.467578,002,2020
356,Azcapotzalco,-99.150436,19.46796,002,2020
357,Azcapotzalco,-99.150436,19.46796,002,2020
358,Azcapotzalco,-99.178773,19.479993,002,2020
359,Azcapotzalco,-99.153877,19.470388,002,2020
360,Azcapotzalco,-99.154279,19.470941,002,2020
361,Azcapotzalco,-99.154686,19.470462,002,2020
362,Azcapotzalco,-99.155268,19.470418,002,2020
363,Azcapotzalco,-99.160421,19.467218,002,2020
364,Azcapotzalco,-99.154548,19.469951,002,2020
365,Azcapotzalco,-99.160088,19.467474,002,2020
366,Azcapotzalco,-99.160258,19.467458,002,2020
367,Azcapotzalco,-99.159737,19.467667,002,2020
368,Azcapotzalco,-99.153951,19.471537,002,2020
369,Azcapotzalco,-99.146467,19.469271,002,2020
370,Azcapotzalco,-99.188235,19.492791,002,2020
371,Azcapotzalco,-99.187111,19.493336,002,2020
372,Azcapotzalco,-99.155605,19.471427,002,2020
373,Azcapotzalco,-99.150467,19.466991,002,2020
374,Azcapotzalco,-99.146991,19.468565,002,2020
375,Azcapotzalco,-99.149424,19.468705,002,2020
376,Azcapotzalco,-99.155488,19.470706,002,2020
377,Azcapotzalco,-99.1454,19.468774,002,2020
378,Azcapotzalco,-99.178095,19.484458,002,2020
379,Azcapotzalco,-99.181198,19.491638,002,2020
380,Azcapotzalco,-99.147346,19.468697,002,2020
381,Azcapotzalco,-99.216896,19.477228,002,2020
382,Azcapotzalco,-99.184401,19.487078,002,2020
