,alcaldia,latitud,longitud,alcaldia_id,año
69,Milpa Alta,19.197391,-99.002032,9,2022
70,Milpa Alta,19.197012,-99.004876,9,2022
71,Milpa Alta,19.219778,-98.998056,9,2022
72,Milpa Alta,19.200466,-99.005642,9,2022
73,Milpa Alta,19.218859,-98.991969,9,2022
74,Milpa Alta,19.196797,-99.006811,9,2022
75,Milpa Alta,19.176167,-98.992995,9,2022
76,Milpa Alta,19.222411,-98.9992,9,2022
77,Milpa Alta,19.222274,-99.000442,9,2022
78,Milpa Alta,19.221188,-99.001197,9,2022
79,Milpa Alta,19.197665,-99.00441,9,2022
80,Milpa Alta,19.219252,-98.996953,9,2022
81,Milpa Alta,19.190513,-98.996469,9,2022
82,Milpa Alta,19.193075,-99.005321,9,2022
83,Milpa Alta,19.200461,-99.005638,9,2022
84,Milpa Alta,19.184,-99.068254,9,2022
85,Milpa Alta,19.219545,-98.996292,9,2022
86,Milpa Alta,19.192742,-99.00525,9,2022
87,Milpa Alta,19.200454,-99.005673,9,2022
88,Milpa Alta,19.220858,-98.990066,9,2022
89,Milpa Alta,19.198234,-99.004287,9,2022
90,Milpa Alta,19.197343,-99.004378,9,2022
91,Milpa Alta,19.221634,-99.000727,9,2022
92,Milpa Alta,19.194354,-99.003263,9,2022
93,Milpa Alta,19.197925,-99.004436,9,2022
94,Milpa Alta,19.220892,-98.996916,9,2022
95,Milpa Alta,19.188416,-98.99812,9,2022
96,Milpa Alta,19.220801,-98.999586,9,2022
97,Milpa Alta,19.192914,-99.004511,9,2022
98,Milpa Alta,19.19379,-99.00456,9,2022
99,Milpa Alta,19.193642,-99.005602,9,2022
100,Milpa Alta,19.19636,-99.005009,9,2022
101,Milpa Alta,19.18422,-99.069141,9,2022
102,Milpa Alta,19.220496,-98.996435,9,2022
103,Milpa Alta,19.219252,-98.996953,9,2022
104,Milpa Alta,19.19435,-99.003147,9,2022
105,Milpa Alta,19.21854,-98.997689,9,2022
106,Milpa Alta,19.218888,-98.996777,9,2022
107,Milpa Alta,19.222876,-99.000393,9,2022
108,Milpa Alta,19.22205,-98.998571,9,2022
109,Milpa Alta,19.219249,-99.000067,9,2022
110,Milpa Alta,19.219862,-99.001615,9,2022
111,Milpa Alta,19.219109,-98.996655,9,2022
112,Milpa Alta,19.218812,-98.991977,9,2022
113,Milpa Alta,19.18942,-98.997766,9,2022
114,Milpa Alta,19.184266,-99.02162,9,2022
115,Milpa Alta,19.194812,-99.00142,9,2022
116,Milpa Alta,19.220544,-98.999168,9,2022
117,Milpa Alta,19.194694,-99.000762,9,2022
118,Tlalpan,19.268617,-99.242869,12,2022
119,Milpa Alta,19.193647,-99.005467,9,2022
120,Milpa Alta,19.190081,-98.996554,9,2022
121,Milpa Alta,19.220196,-98.996459,9,2022
122,Milpa Alta,19.189018,-99.02173,9,2022
123,Milpa Alta,19.19843,-99.008261,9,2022
124,Milpa Alta,19.19688,-99.002858,9,2022
125,Milpa Alta,19.218958,-98.996634,9,2022
126,Milpa Alta,19.219551,-98.998508,9,2022
127,Milpa Alta,19.190943,-99.093473,9,2022
128,Milpa Alta,19.195217,-99.023106,9,2022
129,Milpa Alta,19.19394,-99.092322,9,2022
130,Milpa Alta,19.193284,-99.003732,9,2022
131,Milpa Alta,19.191261,-99.001236,9,2022
132,Milpa Alta,19.198644,-99.024874,9,2022
133,Milpa Alta,19.181241,-99.030176,9,2022
134,Milpa Alta,19.220328,-99.00163,9,2022
135,Tlalpan,19.257152,-99.186352,12,2022
136,Milpa Alta,19.19518,-99.00636,9,2022
137,Milpa Alta,19.17549,-99.026787,9,2022
138,Milpa Alta,19.1874,-99.019497,9,2022
139,Milpa Alta,19.198265,-99.053603,9,2022
140,Milpa Alta,19.199368,-99.033019,9,2022
141,Milpa Alta,19.193884,-99.019795,9,2022
142,Milpa Alta,19.22204,-98.998714,9,2022
143,Milpa Alta,19.192102,-99.001883,9,2022
144,Milpa Alta,19.186981,-99.020372,9,2022
145,Milpa Alta,19.22164,-99.00055,9,2022
146,Milpa Alta,19.224395,-98.999267,9,2022
147,Milpa Alta,19.219261,-98.99691,9,2022
148,Milpa Alta,19.226339,-98.992814,9,2022
149,Milpa Alta,19.188692,-98.996899,9,2022
150,Milpa Alta,19.187778,-99.026733,9,2022
151,Milpa Alta,19.19431,-99.002665,9,2022
152,Milpa Alta,19.196041,-99.018602,9,2022
153,Milpa Alta,19.178774,-98.993424,9,2022
154,Milpa Alta,19.184063,-99.026642,9,2022
155,Milpa Alta,19.172778,-99.034943,9,2022
156,Milpa Alta,19.17519,-98.997196,9,2022
157,Milpa Alta,19.19511,-99.001368,9,2022
158,Milpa Alta,19.178157,-99.036868,9,2022
159,Milpa Alta,19.195639,-99.001626,9,2022
160,Milpa Alta,19.181878,-99.03243,9,2022
161,Milpa Alta,19.196026,-99.022668,9,2022
162,Milpa Alta,19.195377,-99.001673,9,2022
163,Milpa Alta,19.218689,-98.992367,9,2022
164,Milpa Alta,19.173014,-98.994704,9,2022
165,Milpa Alta,19.201925,-99.008256,9,2022
166,Milpa Alta,19.201965,-99.027316,9,2022
167,Milpa Alta,19.213444,-99.042458,9,2022
168,Milpa Alta,19.193684,-99.005588,9,2022
169,Milpa Alta,19.183257,-99.069313,9,2022
170,Milpa Alta,19.172784,-98.997727,9,2022
171,Milpa Alta,19.196792,-99.003057,9,2022
172,Milpa Alta,19.196819,-99.003038,9,2022
173,Milpa Alta,19.173262,-98.997956,9,2022
174,Milpa Alta,19.172179,-98.999645,9,2022
175,Milpa Alta,19.177877,-99.035543,9,2022
176,Milpa Alta,19.176296,-99.035228,9,2022
177,Milpa Alta,19.197462,-99.026277,9,2022
178,Milpa Alta,19.195203,-99.000595,9,2022
179,Milpa Alta,19.17477,-98.998431,9,2022
180,Milpa Alta,19.17628,-99.035248,9,2022
181,Milpa Alta,19.203689,-99.049473,9,2022
182,Milpa Alta,19.200506,-99.004084,9,2022
183,Milpa Alta,19.201867,-99.008866,9,2022
184,Milpa Alta,19.201867,-99.008866,9,2022
185,Milpa Alta,19.194638,-99.001479,9,2022
186,Tlalpan,19.259752,-99.186345,12,2022
187,Milpa Alta,19.198567,-99.024145,9,2022
188,Milpa Alta,19.20255,-99.031442,9,2022
189,Milpa Alta,19.172939,-98.998927,9,2022
190,Milpa Alta,19.196229,-99.004551,9,2022
191,Milpa Alta,19.171833,-98.990585,9,2022
192,Milpa Alta,19.197681,-99.004834,9,2022
193,Milpa Alta,19.197921,-99.005381,9,2022
194,Milpa Alta,19.199897,-99.031207,9,2022
195,Milpa Alta,19.197921,-99.004326,9,2022
196,Milpa Alta,19.201196,-99.004066,9,2022
197,Milpa Alta,19.192169,-99.093774,9,2022
198,Milpa Alta,19.201456,-99.00371,9,2022
199,Milpa Alta,19.198576,-99.006941,9,2022
200,Milpa Alta,19.188809,-98.998068,9,2022
201,Milpa Alta,19.192169,-99.093774,9,2022
202,Milpa Alta,19.174828,-98.998411,9,2022
203,Tlalpan,19.245917,-99.142531,12,2022
204,Milpa Alta,19.198538,-99.019828,9,2022
205,Milpa Alta,19.192544,-99.089211,9,2022
206,Milpa Alta,19.19479,-98.999998,9,2022
207,Milpa Alta,19.173244,-99.000754,9,2022
208,Milpa Alta,19.193696,-99.088875,9,2022
209,Milpa Alta,19.199108,-99.00527,9,2022
210,Milpa Alta,19.169912,-99.001335,9,2022
211,Milpa Alta,19.198475,-99.005243,9,2022
212,Milpa Alta,19.198451,-99.005277,9,2022
213,Milpa Alta,19.18839,-98.994467,9,2022
214,Milpa Alta,19.195118,-99.021923,9,2022
215,Milpa Alta,19.189843,-99.094362,9,2022
216,Milpa Alta,19.188741,-98.995271,9,2022
217,Milpa Alta,19.190631,-98.991878,9,2022
218,Milpa Alta,19.17286,-99.001038,9,2022
219,Milpa Alta,19.198743,-99.005345,9,2022
220,Milpa Alta,19.189962,-99.094124,9,2022
221,Milpa Alta,19.19647,-99.022451,9,2022
222,Milpa Alta,19.198528,-99.005377,9,2022
223,Milpa Alta,19.175084,-98.999057,9,2022
224,Milpa Alta,19.196438,-99.022333,9,2022
225,Milpa Alta,19.222141,-98.998109,9,2022
226,Milpa Alta,19.191483,-99.006531,9,2022
227,Milpa Alta,19.193831,-99.017713,9,2022
228,Milpa Alta,19.197438,-99.023443,9,2022
229,Milpa Alta,19.194457,-99.019463,9,2022
230,Milpa Alta,19.193484,-99.017982,9,2022
231,Milpa Alta,19.199087,-99.023217,9,2022
232,Milpa Alta,19.218284,-99.044624,9,2022
233,Milpa Alta,19.199857,-99.048033,9,2022
234,Milpa Alta,19.199796,-99.050388,9,2022
235,Milpa Alta,19.212244,-99.005133,9,2022
236,Tláhuac,19.291592,-99.004893,11,2022
237,Milpa Alta,19.190641,-99.091526,9,2022
238,Milpa Alta,19.206457,-99.071393,9,2022
239,Milpa Alta,19.197477,-99.04874,9,2022
240,Milpa Alta,19.195459,-99.007516,9,2022
241,Milpa Alta,19.200241,-99.047197,9,2022
242,Milpa Alta,19.195843,-99.007262,9,2022
243,Milpa Alta,19.221163,-98.990066,9,2022
244,Milpa Alta,19.194524,-99.088934,9,2022
245,Milpa Alta,19.174981,-98.998753,9,2022
246,Milpa Alta,19.174159,-98.9981,9,2022
247,Milpa Alta,19.190004,-99.091219,9,2022
248,Milpa Alta,19.172797,-98.999393,9,2022
249,Milpa Alta,19.205052,-99.066747,9,2022
250,Milpa Alta,19.203477,-99.0483,9,2022
251,Milpa Alta,19.172099,-98.999738,9,2022
252,Milpa Alta,19.199885,-99.05237,9,2022
253,Milpa Alta,19.195112,-99.007578,9,2022
254,Milpa Alta,19.198418,-99.008271,9,2022
255,Milpa Alta,19.19716,-99.008066,9,2022
256,Milpa Alta,19.19686,-98.998666,9,2022
257,Milpa Alta,19.181702,-99.07032,9,2022
258,Milpa Alta,19.196746,-99.007001,9,2022
259,Milpa Alta,19.194705,-99.007929,9,2022
260,Milpa Alta,19.172318,-98.994656,9,2022
261,Milpa Alta,19.196521,-99.006692,9,2022
262,Milpa Alta,19.197952,-99.005489,9,2022
263,Milpa Alta,19.200874,-99.047599,9,2022
264,Milpa Alta,19.172329,-98.994946,9,2022
265,Milpa Alta,19.197376,-99.010056,9,2022
266,Milpa Alta,19.170727,-98.995217,9,2022
267,Milpa Alta,19.188834,-99.093762,9,2022
268,Milpa Alta,19.16839,-98.994383,9,2022
269,Milpa Alta,19.226481,-98.998875,9,2022
270,Milpa Alta,19.170828,-98.996001,9,2022
271,Milpa Alta,19.199962,-99.047464,9,2022
272,Milpa Alta,19.172882,-98.994985,9,2022
273,Milpa Alta,19.189219,-99.094027,9,2022
274,Milpa Alta,19.189768,-99.091777,9,2022
275,Milpa Alta,19.202669,-99.045242,9,2022
276,Milpa Alta,19.168709,-98.992795,9,2022
277,Milpa Alta,19.19662,-99.086981,9,2022
278,Milpa Alta,19.168171,-98.991828,9,2022
279,Milpa Alta,19.204255,-99.048821,9,2022
280,Milpa Alta,19.189778,-99.091766,9,2022
281,Milpa Alta,19.169646,-98.991522,9,2022
282,Milpa Alta,19.177638,-99.004324,9,2022
283,Milpa Alta,19.184401,-99.021606,9,2022
284,Milpa Alta,19.195436,-99.088804,9,2022
